City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,-12.57,85,100,1.03,CA,1704172856
1,puerto ayora,-0.7393,-90.3518,24.75,98,47,2.4,EC,1704172857
2,adamstown,-25.066,-130.1015,23.52,84,100,3.68,PN,1704172858
3,faaa,-17.55,-149.6,27.98,78,75,3.09,PF,1704172859
4,sao felix do xingu,-6.6447,-51.995,22.15,98,47,0.39,BR,1704172860
5,uliastay,47.7417,96.8444,-10.73,71,13,2.62,MN,1704172861
6,salalah,17.0151,54.0924,26.05,57,0,2.06,OM,1704172820
7,bethel,41.3712,-73.414,-0.03,70,0,1.54,US,1704172863
8,ilulissat,69.2167,-51.1,-8.99,38,21,9.26,GL,1704172864
9,dan sadau,11.2962,6.4952,19.32,20,7,3.27,NG,1704172865
10,grytviken,-54.2811,-36.5092,0.79,76,82,2.47,GS,1704172866
11,naliya,23.2667,68.8333,23.52,23,0,5.55,IN,1704172867
12,lagoa,39.05,-27.9833,16.08,86,100,9.47,PT,1704172868
13,khandyga,62.6667,135.6,-31.14,91,99,1.03,RU,1704172869
14,kill devil hills,36.0307,-75.676,5.55,79,100,3.6,US,1704172870
15,waat,51.1454,6.4958,10.15,97,100,4.63,DE,1704172871
16,waitangi,-43.9535,-176.5597,16.01,83,100,4.02,NZ,1704172872
17,borkum,53.5809,6.6915,6.64,93,100,11.43,DE,1704172873
18,aasiaat,68.7098,-52.8699,-20.4,91,38,4.29,GL,1704172874
19,qaqortoq,60.7167,-46.0333,-9.12,73,100,3.05,GL,1704172875
20,bardai,11.65,7.2333,16.4,21,13,4.18,NG,1704172876
21,subaykhan,34.8544,40.6083,12.15,53,100,1.85,SY,1704172877
22,mili,6.0815,171.735,28.03,79,19,8.82,MH,1704172878
23,klyuchi,52.2667,79.1667,-0.76,95,100,6.82,RU,1704172879
24,makaha,21.4694,-158.2175,25.95,68,75,4.12,US,1704172880
25,tiksi,71.6872,128.8694,-29.08,100,100,0.36,RU,1704172881
26,syktyvkar,61.6764,50.8099,-31.15,76,20,1.0,RU,1704172882
27,indianola,41.3581,-93.5574,-2.73,86,1,2.24,US,1704172879
28,stanley,54.868,-1.6985,7.93,96,75,2.06,GB,1704172634
29,namtsy,62.7161,129.6658,-35.97,100,99,1.06,RU,1704172886
30,dongcun,36.7767,121.1597,4.8,53,84,3.06,CN,1704172887
31,kratie,12.4881,106.0188,34.92,36,76,4.32,KH,1704172888
32,happy valley-goose bay,53.3168,-60.3315,-10.83,62,100,1.54,CA,1704172889
33,port-aux-francais,-49.35,70.2167,4.21,91,88,19.25,TF,1704172890
34,el hadjira,32.6134,5.5126,11.62,42,77,4.63,DZ,1704172891
35,longyearbyen,78.2186,15.6401,-6.09,68,40,8.75,SJ,1704172867
36,puerto natales,-51.7236,-72.4875,11.14,94,95,1.18,CL,1704172893
37,jaleshwar,26.6471,85.8008,21.14,41,0,1.69,NP,1704172895
38,port mathurin,-19.6833,63.4167,27.65,77,71,5.77,MU,1704172895
39,anadyr,64.75,177.4833,-6.72,86,40,12.0,RU,1704172896
40,olonkinbyen,70.9221,-8.7187,0.12,97,100,4.41,SJ,1704172897
41,ribeira grande,38.5167,-28.7,17.1,90,100,2.24,PT,1704172899
42,albany,42.6001,-73.9662,-3.95,77,4,0.89,US,1704172774
43,saudarkrokur,65.7461,-19.6394,-1.26,97,96,1.15,IS,1704172900
44,ushuaia,-54.8,-68.3,8.81,93,0,5.14,AR,1704172901
45,touros,-5.1989,-35.4608,25.69,85,65,2.43,BR,1704172902
46,punta arenas,-53.15,-70.9167,13.06,76,75,2.06,CL,1704172903
47,kayar,14.9192,-17.1211,22.53,65,100,4.6,SN,1704172904
48,hawaiian paradise park,19.5933,-154.9731,22.71,87,75,3.09,US,1704172905
49,chonchi,-42.6128,-73.8092,10.62,99,61,1.37,CL,1704172906
50,enewetak,11.3474,162.3373,27.62,72,44,8.2,MH,1704172907
51,talnakh,69.4865,88.3972,-31.0,88,48,1.0,RU,1704172908
52,kodinsk,58.6881,99.1844,-20.87,98,88,1.35,RU,1704172909
53,cobija,-11.0267,-68.7692,22.34,99,65,1.21,BO,1704172910
54,kodiak,57.79,-152.4072,3.73,93,100,11.32,US,1704172911
55,alice springs,-23.7,133.8833,40.75,9,59,4.12,AU,1704172912
56,upington,-28.4478,21.2561,25.21,50,0,1.03,ZA,1704172913
57,sukuta,13.4103,-16.7082,21.01,64,0,0.0,GM,1704172914
58,jauja,-11.7758,-75.4966,11.94,83,100,1.57,PE,1704172915
59,coracora,-15.0333,-73.7833,10.51,84,76,1.11,PE,1704172916
60,reyhanli,36.2692,36.5672,9.92,69,100,1.6,TR,1704172917
61,hasaki,35.7333,140.8333,12.38,56,75,3.82,JP,1704172918
62,badger,64.8,-147.5333,-23.07,78,0,0.0,US,1704172919
63,margaret river,-33.95,115.0667,23.84,52,44,6.81,AU,1704172920
64,le port,-20.9373,55.2919,25.0,91,100,4.7,RE,1704172921
65,bilibino,68.0546,166.4372,-24.78,92,100,0.33,RU,1704172922
66,yellowknife,62.456,-114.3525,-16.71,78,100,5.14,CA,1704172923
67,broken hill,-31.95,141.4333,38.83,14,83,8.21,AU,1704172924
68,pekan,3.4836,103.3996,29.06,91,98,3.3,MY,1704172925
69,nagqu,31.5,92.0,-8.87,56,71,2.16,CN,1704172926
70,nieuw amsterdam,5.8833,-55.0833,25.57,89,5,3.54,SR,1704172927
71,port alfred,-33.5906,26.891,18.99,90,99,2.68,ZA,1704172928
72,arcachon,44.5875,-1.0519,10.23,76,100,3.09,FR,1704172929
73,mogocha,53.7333,119.7667,-15.76,83,94,1.23,RU,1704172930
74,nikol'sk,53.7189,46.0712,-12.6,94,100,1.84,RU,1704172932
75,lebu,-37.6167,-73.65,13.08,85,2,6.65,CL,1704172933
76,blackmans bay,-43.0167,147.3167,21.52,68,99,1.79,AU,1704172934
77,invercargill,-46.4,168.35,15.57,77,91,6.26,NZ,1704172842
78,urengoy,65.9667,78.3667,-33.26,97,8,3.88,RU,1704172936
79,fernandopolis,-20.2839,-50.2464,21.43,88,98,2.0,BR,1704172938
80,ipora,-16.4419,-51.1178,20.91,90,94,1.29,BR,1704172939
81,murghob,38.1702,73.9667,-11.25,33,84,1.41,TJ,1704172940
82,marsa alam,25.0757,34.8918,19.27,47,0,3.5,EG,1704172941
83,toliara,-23.35,43.6667,26.99,72,100,5.77,MG,1704172942
84,horta,38.5333,-28.6333,16.68,90,100,2.24,PT,1704172943
85,avarua,-21.2078,-159.775,26.03,73,12,3.6,CK,1704172944
86,puerto deseado,-47.7503,-65.8938,14.33,67,57,6.82,AR,1704172945
87,papatowai,-46.5619,169.4708,15.9,62,91,5.2,NZ,1704172946
88,salinas,36.6777,-121.6555,11.15,88,0,2.06,US,1704172947
89,bride,54.3826,-4.3892,9.74,84,96,10.0,IM,1704172948
90,iqaluit,63.7506,-68.5145,-28.15,63,20,4.12,CA,1704172949
91,kapuskasing,49.4169,-82.4331,-1.95,80,100,7.72,CA,1704172950
92,edinburgh of the seven seas,-37.0676,-12.3116,16.41,89,100,1.65,SH,1704172951
93,kayangel,8.0823,134.7173,28.82,71,76,3.64,PW,1704172951
94,merizo village,13.2658,144.6691,30.32,86,47,5.94,GU,1704172952
95,maintirano,-18.0667,44.0167,28.57,77,99,4.98,MG,1704172953
96,tanjung pandan,-2.75,107.65,28.87,73,100,3.47,ID,1704172954
97,puerto baquerizo moreno,-0.9,-89.6,24.35,88,6,3.13,EC,1704172955
98,tura,25.5198,90.2201,23.32,41,0,0.81,IN,1704172956
99,west island,-12.1568,96.8225,29.99,74,75,7.72,CC,1704172957
100,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,77,0,7.6,RU,1704172959
101,luocheng,29.3848,104.0286,14.18,56,85,1.43,CN,1704172959
102,laojunmiao,39.8333,97.7333,0.48,20,0,2.63,CN,1704172960
103,laguna,38.421,-121.4238,9.39,92,0,3.6,US,1704172961
104,queenstown,-31.8976,26.8753,15.25,91,100,1.13,ZA,1704172962
105,uturoa,-16.7333,-151.4333,28.15,79,100,4.24,PF,1704172963
106,sitka,57.0531,-135.33,6.94,53,100,6.69,US,1704172964
107,ishinomaki,38.4167,141.3,9.0,53,72,2.14,JP,1704172965
108,cabo san lucas,22.8909,-109.9124,22.09,72,91,0.89,MX,1704172563
109,kavaratti,10.5669,72.642,27.75,74,96,4.61,IN,1704172966
110,kitimat,54.0524,-128.6534,2.21,64,100,0.89,CA,1704172967
111,thompson,55.7435,-97.8558,-9.91,79,100,3.6,CA,1704172968
112,tamanrasset,22.785,5.5228,6.95,26,0,1.03,DZ,1704172969
113,cidreira,-30.1811,-50.2056,22.36,86,99,8.3,BR,1704172970
114,floro,61.5996,5.0328,2.98,48,0,10.29,NO,1704172971
115,sisimiut,66.9395,-53.6735,-8.07,63,100,5.86,GL,1704172972
116,le puy-en-velay,45.0437,3.8852,5.59,89,100,2.59,FR,1704172973
117,keflavik,64.0049,-22.5624,3.95,87,75,8.23,IS,1704172974
118,egilsstadir,65.2653,-14.3948,5.95,75,75,3.09,IS,1704172775
119,illizi,26.4833,8.4667,6.89,22,68,2.32,DZ,1704172976
120,vilyuchinsk,52.9306,158.4028,-11.85,75,95,4.91,RU,1704172977
121,sungai penuh,-2.0833,101.3833,25.35,71,93,1.05,ID,1704172978
